what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.xbase,2.2.1.v201112130541,"org.eclipse.xtext.xbase",1446577438809
started,bundle,org.eclipse.xtext.xbase.ui,2.2.1.v201112130541,"org.eclipse.xtext.xbase.ui",1446577438813
started,bundle,org.eclipse.xtext.xtend2,2.2.1.v201112130541,"org.eclipse.xtext.xtend2",1446577438813
started,bundle,org.eclipse.xtext.xtend2.ui,2.2.1.v201112130541,"org.eclipse.xtext.xtend2.ui",1446577438814
started,bundle,rcs.rtpl.xtext.esterel2012,1.0.4,"rcs.rtpl.xtext.esterel2012",1446577438814
started,bundle,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.ui",1446577438814
started,bundle,org.eclipse.emf.common,2.9.0.v20130528-0742,"org.eclipse.emf.common",1446577438814
started,bundle,org.eclipse.emf.ecore,2.9.0.v20130528-0742,"org.eclipse.emf.ecore",1446577438814
started,bundle,org.eclipse.emf.ecore.xmi,2.9.0.v20130528-0742,"org.eclipse.emf.ecore.xmi",1446577438815
os,sysinfo,,,"linux",1446577438818
arch,sysinfo,,,"x86",1446577438818
ws,sysinfo,,,"gtk",1446577438818
locale,sysinfo,,,"en_US",1446577438818
processors,sysinfo,,,"1",1446577438818
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1446577438818
java.runtime.version,sysinfo,,,"1.6.0_31-b31",1446577438818
java.specification.name,sysinfo,,,"Java Platform API Specification",1446577438818
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446577438818
java.specification.version,sysinfo,,,"1.6",1446577438818
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446577438818
java.version,sysinfo,,,"1.6.0_31",1446577438818
java.vm.info,sysinfo,,,"mixed mode, sharing",1446577438818
java.vm.name,sysinfo,,,"OpenJDK Client VM",1446577438818
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446577438818
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446577438818
java.vm.specification.version,sysinfo,,,"1.0",1446577438818
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446577438818
java.vm.version,sysinfo,,,"23.25-b01",1446577438818
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446577440699
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446577441572
started,bundle,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder",1446577448035
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.runEsterel",1446577448042
started,bundle,rcs.rtpl.xtext.esterel.preferences,1.0.2.b,"rcs.rtpl.xtext.esterel.preferences",1446577448365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577448505
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1446577448607
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1446577448612
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1446577448613
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1446577448614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577450488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577450846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577451469
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446577467399
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446577468921
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1446577472838
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1446577472849
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446577473415
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1446577474182
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1446577474197
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1446577475023
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446577476520
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1446577476527
opened,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577481878
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577481945
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446577481991
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.runEsterel",1446577489551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577489917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577491344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577491661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577492434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577492589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577499880
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577504884
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577518429
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577523455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446577526657
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577540426
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.buildEsterel",1446577544518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577544894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577547114
